sy_name,hostname,tic_id,sy_snum,sy_pnum,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
HD 137496,HD 137496,TIC 346250894,1,2,<a refstr=AZEVEDO_SILVA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...657A..68A/abstract target=ref>Azevedo Silva et al. 2022</a>,G,5799.0,61.0,-61.0,0.0,1.59,0.03,-0.03,0.0,1.04,0.02,-0.02,0.0,-0.03,0.04,-0.04,0.0,[Fe/H],4.05,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h26m58.09s,231.7420543,-16d30m32.41s,-16.5090014,155.317,1.739,-1.702,9.899,0.006,-0.006,8.244,0.036,-0.036,9.77168,0.000601,-0.000601
HD 14067,HD 14067,TIC 246937460,1,1,<a refstr=WANG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014PASJ...66..118W/abstract target=ref>Wang et al. 2014</a>,G9 III,4815.0,100.0,-100.0,0.0,12.4,1.1,-1.1,0.0,2.4,0.2,-0.2,0.0,-0.1,0.08,-0.08,0.0,[Fe/H],2.61,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h17m10.40s,34.293348,+23d46m03.56s,23.7676546,142.024,0.845,-0.835,6.53329,0.023,-0.023,4.097,0.036,-0.036,6.23751,0.0004951,-0.0004951
HD 143361,HD 143361,TIC 255480497,1,1,<a refstr=JENKINS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.466..443J/abstract target=ref>Jenkins et al. 2017</a>,G6 V,5505.0,100.0,-100.0,0.0,0.99,0.08,-0.08,0.0,0.95,0.05,-0.05,0.0,0.22,0.1,-0.1,0.0,[Fe/H],4.42,0.08,-0.08,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h01m50.12s,240.4588405,-44d26m06.21s,-44.4350575,68.5146,0.2971,-0.2946,9.2,0.03,-0.03,7.488,0.018,-0.018,9.01602,0.000158,-0.000158
HD 147873,HD 147873,TIC 211080657,2,2,<a refstr=JENKINS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.466..443J/abstract target=ref>Jenkins et al. 2017</a>,G1 V,5972.0,100.0,-100.0,0.0,2.29,0.1,-0.1,0.0,1.38,0.05,-0.05,0.0,0.03,0.1,-0.1,0.0,[Fe/H],3.86,0.05,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h25m45.13s,246.4380471,-33d34m02.00s,-33.5672217,109.055,1.021,-1.002,7.96,0.03,-0.03,6.581,0.029,-0.029,7.81828,0.000315,-0.000315
HD 149026,HD 149026,TIC 255930614,1,1,<a refstr=SATO_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005ApJ...633..465S/abstract target=ref> Sato et al. 2005 </a>,G0 IV,6147.0,50.0,-50.0,0.0,1.45,0.1,-0.1,0.0,1.3,0.1,-0.1,0.0,0.36,0.05,-0.05,0.0,[Fe/H],4.26,0.07,-0.07,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h30m29.52s,247.6229827,+38d20m51.13s,38.3475349,75.8643,0.174,-0.1733,8.15,0.03,-0.03,6.819,0.017,-0.017,8.01416,0.000382,-0.000382
HD 150706,HD 150706,TIC 159511543,1,1,<a refstr=BOISSE_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...545A..55B/abstract target=ref> Boisse et al. 2012 </a>,G0 V,5961.0,27.0,-27.0,0.0,0.96,0.02,-0.02,0.0,1.17,0.12,-0.12,0.0,-0.01,0.04,-0.04,0.0,[Fe/H],4.5,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h31m18.14s,247.8255687,+79d47m21.85s,79.7894032,28.2697,0.0229,-0.0228,7.03,0.02,-0.02,5.565,0.016,-0.016,6.85038,0.000452,-0.000452
HD 152079,HD 152079,TIC 246835467,1,1,<a refstr=JENKINS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.466..443J/abstract target=ref>Jenkins et al. 2017</a>,G6 V,5726.0,100.0,-100.0,0.0,1.15,0.13,-0.13,0.0,1.1,0.05,-0.05,0.0,0.16,0.1,-0.1,0.0,[Fe/H],4.36,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h53m29.58s,253.3732313,-46d20m00.09s,-46.3333582,87.8888,0.3583,-0.3554,9.18,0.03,-0.03,7.634,0.021,-0.021,9.01051,0.000311,-0.000311
HD 152843,HD 152843,TIC 349488688,1,2,<a refstr=EISNER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.1332E/abstract target=ref>Eisner et al. 2021</a>,G0,6310.0,100.0,-100.0,0.0,1.43,0.02,-0.02,0.0,1.15,0.04,-0.04,0.0,-0.16,0.05,-0.05,0.0,[Fe/H],4.19,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h55m08.37s,253.7848853,+20d29m29.49s,20.491524,107.898,0.318,-0.316,8.855,0.002,-0.002,7.629,0.02,-0.02,8.76412,0.000237,-0.000237
HD 154672,HD 154672,TIC 380086262,1,1,<a refstr=JENKINS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.466..443J/abstract target=ref>Jenkins et al. 2017</a>,G3 IV,5655.0,100.0,-100.0,0.0,1.44,0.05,-0.05,0.0,1.08,0.05,-0.05,0.0,0.11,0.1,-0.1,0.0,[Fe/H],4.15,0.05,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h10m04.97s,257.520697,-56d26m59.29s,-56.4498041,63.0484,0.1947,-0.1936,8.21,0.03,-0.03,6.612,0.023,-0.023,8.03732,0.000247,-0.000247
HD 159243,HD 159243,TIC 348652846,1,2,<a refstr=MOUTOU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...563A..22M/abstract target=ref> Moutou et al. 2014 </a>,G0 V,6123.0,65.0,-65.0,0.0,1.12,0.05,-0.05,0.0,1.12,0.03,-0.03,0.0,0.05,0.04,-0.04,0.0,[Fe/H],4.55,0.11,-0.11,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h33m21.49s,263.3395365,+05d42m02.97s,5.7008254,73.3055,0.2358,-0.2344,8.65,0.03,-0.03,7.297,0.021,-0.021,8.51188,0.000442,-0.000442
HD 163607,HD 163607,TIC 232620788,1,2,<a refstr=GIGUERE_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...744....4G/abstract target=ref> Giguere et al. 2012 </a>,G5 IV,5543.0,44.0,-44.0,0.0,1.63,0.07,-0.07,0.0,1.09,0.02,-0.02,0.0,0.21,0.03,-0.03,0.0,[Fe/H],4.04,0.06,-0.06,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h53m40.35s,268.4181383,+56d23m32.89s,56.3924701,67.7855,0.1639,-0.1632,8.0,0.03,-0.03,6.271,0.02,-0.02,7.81298,0.000271,-0.000271
HD 164509,HD 164509,TIC 382764222,2,1,<a refstr=GIGUERE_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...744....4G/abstract target=ref> Giguere et al. 2012 </a>,G5 V,5922.0,44.0,-44.0,0.0,1.06,0.03,-0.03,0.0,1.13,0.02,-0.02,0.0,0.21,0.03,-0.03,0.0,[Fe/H],4.44,0.06,-0.06,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h01m31.22s,270.3800811,+00d06m16.09s,0.1044685,53.1119,0.1432,-0.1425,8.1,0.03,-0.03,6.586,0.021,-0.021,7.95594,0.000404,-0.000404
HD 164922,HD 164922,TIC 159019691,1,4,<a refstr=FULTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...46F/abstract target=ref>Fulton et al. 2016</a>,G9 V,5293.0,32.0,-32.0,0.0,1.0,0.02,-0.02,0.0,0.87,0.01,-0.01,0.0,0.16,0.05,-0.05,0.0,[Fe/H],4.39,0.01,-0.01,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h02m31.31s,270.6304652,+26d18m37.47s,26.3104077,22.0016,0.0152,-0.0151,7.01227,0.023,-0.023,5.113,0.02,-0.02,6.78614,0.000171,-0.000171
HD 165155,HD 165155,TIC 408229533,1,1,<a refstr=JENKINS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.466..443J/abstract target=ref>Jenkins et al. 2017</a>,G8 V,5426.0,100.0,-100.0,0.0,0.95,0.11,-0.11,0.0,1.02,0.05,-0.05,0.0,0.09,0.1,-0.1,0.0,[Fe/H],4.49,0.11,-0.11,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h05m57.44s,271.4893395,-29d55m02.11s,-29.9172536,63.3574,0.2184,-0.2168,9.36,0.03,-0.03,7.584,0.02,-0.02,9.21413,0.000281,-0.000281
HD 167768,HD 167768,TIC 2382387,1,1,<a refstr=TENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221106576T/abstract target=ref>Teng et al. 2022</a>,G8 III,4851.0,45.0,-44.0,0.0,9.7,0.25,-0.25,0.0,1.08,0.14,-0.12,0.0,-0.67,0.09,-0.08,0.0,[Fe/H],2.5,0.06,-0.06,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h16m53.12s,274.2213308,-03d00m30.89s,-3.0085807,107.214,1.0755,-1.0755,5.98894,0.023,-0.023,3.895,0.036,-0.036,5.7545,0.0015183,-0.0015183
HD 168443,HD 168443,TIC 16465196,1,2,<a refstr=PILYAVSKY_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743..162P/abstract target=ref> Pilyavsky et al. 2011 </a>,G5,5491.0,44.0,-44.0,0.0,1.51,0.06,-0.06,0.0,0.99,0.02,-0.02,0.0,0.04,0.03,-0.03,0.0,[Fe/H],4.07,0.06,-0.06,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h20m03.84s,275.0159879,-09d35m48.09s,-9.5966905,39.6245,0.1224,-0.1217,6.92122,0.023,-0.023,5.211,0.015,-0.015,6.73166,0.000327,-0.000327
HD 170469,HD 170469,TIC 320362897,2,1,<a refstr=FISCHER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...669.1336F/abstract target=ref> Fischer et al. 2007 </a>,G5 IV,5810.0,44.0,-44.0,0.0,1.22,0.04,-0.04,0.0,1.14,0.01,-0.05,0.0,0.3,0.03,-0.03,0.0,[Fe/H],4.32,0.06,-0.06,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h29m10.93s,277.2955423,+11d41m43.53s,11.6954244,60.178,0.1491,-0.1484,8.21,0.03,-0.03,6.707,0.018,-0.018,8.04953,0.000392,-0.000392
HD 171028,HD 171028,TIC 321030607,1,1,<a refstr=SANTOS_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007A&A...474..647S/abstract target=ref> Santos et al. 2007 </a>,G0,5663.0,20.0,-20.0,0.0,1.95,0.26,-0.26,0.0,0.99,0.08,-0.08,0.0,-0.49,0.02,-0.02,0.0,[Fe/H],3.84,0.05,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h32m15.45s,278.0643694,+06d56m44.46s,6.9456827,111.659,0.627,-0.621,8.292,0.002,-0.002,6.604,0.027,-0.027,8.10233,0.000447,-0.000447
HD 17156,HD 17156,TIC 302773669,1,1,<a refstr=FISCHER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...669.1336F/abstract target=ref> Fischer et al. 2007 </a>,G0 V,6079.0,56.0,-56.0,0.0,1.47,0.07,-0.09,0.0,1.2,0.05,-0.05,0.0,0.24,0.03,-0.03,0.0,[Fe/H],4.29,0.06,-0.06,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h49m44.79s,42.4366123,+71d45m11.12s,71.7530882,78.0863,0.2397,-0.2383,8.17,0.03,-0.03,6.763,0.024,-0.024,8.03298,0.00035,-0.00035
HD 173416,HD 173416,TIC 157951225,1,1,<a refstr=LIU_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ReA&A...9....1L/abstract target=ref> Liu et al. 2009 </a>,G8,4683.0,100.0,-100.0,0.0,13.5,0.9,-0.9,0.0,2.0,0.3,-0.3,0.0,-0.22,0.09,-0.09,0.0,[Fe/H],2.48,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h43m36.14s,280.9005676,+36d33m24.69s,36.556857,132.184,0.7355,-0.7355,6.04188,0.023,-0.023,3.814,0.354,-0.354,5.75681,0.0015378,-0.0015378
HD 175541,HD 175541,TIC 227196910,1,1,<a refstr=JOHNSON_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...665..785J/abstract target=ref> Johnson et al. 2007 </a>,G8 IV,5060.0,44.0,-44.0,0.0,3.8,0.09,-0.09,0.0,1.65,0.12,-0.12,0.0,-0.07,0.04,-0.04,0.0,[Fe/H],3.52,0.3,-0.3,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h55m40.88s,283.9203211,+04d15m53.76s,4.2649344,129.603,1.0065,-1.0065,8.020001,0.03,-0.03,5.829,0.021,-0.021,7.75927,0.000389,-0.000389
HD 175607,HD 175607,TIC 382073690,1,1,<a refstr=MORTIER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...585A.135M/abstract target=ref>Mortier et al. 2016</a>,G6 V,5392.0,17.0,-17.0,0.0,0.7,0.01,-0.01,0.0,0.71,0.01,-0.01,0.0,-0.62,0.01,-0.01,0.0,[Fe/H],4.64,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h01m05.83s,285.2742901,-66d11m39.62s,-66.1943379,40.3303,0.0616,-0.0613,8.6,0.03,-0.03,6.881,0.057,-0.057,8.40957,0.00025,-0.00025
HD 17674,HD 17674,TIC 77490014,1,1,<a refstr=REY_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...601A...9R/abstract target=ref>Rey et al. 2017</a>,G0 V,5904.0,22.0,-22.0,0.0,1.18,0.1,-0.1,0.0,0.98,0.1,-0.1,0.0,-0.16,0.02,-0.02,0.0,[Fe/H],4.34,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h51m04.44s,42.7684964,+30d17m11.75s,30.2865981,44.4264,0.0861,-0.0859,7.535,0.019,-0.019,6.093,0.029,-0.029,7.40113,0.000221,-0.000221
HD 179079,HD 179079,TIC 48917782,1,1,<a refstr=VALENTI_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...702..989V/abstract target=ref> Valenti et al. 2009 </a>,G5 IV,5684.0,44.0,-44.0,0.0,1.6,0.09,-0.09,0.0,1.15,0.03,-0.03,0.0,0.25,0.03,-0.03,0.0,[Fe/H],4.06,0.06,-0.06,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h11m09.69s,287.7903733,-02d38m19.57s,-2.6387703,69.7116,0.3982,-0.3938,7.95,0.03,-0.03,6.311,0.026,-0.026,7.77454,0.000316,-0.000316
HD 181234,HD 181234,TIC 3409107,1,1,<a refstr=RICKMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...625A..71R/abstract target=ref>Rickman et al. 2019</a>,G5,5386.0,60.0,-60.0,0.0,1.05,0.07,-0.07,0.0,1.01,0.06,-0.06,0.0,0.32,0.05,-0.05,0.0,[Fe/H],4.25,0.11,-0.11,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h19m59.97s,289.9998695,-09d19m29.89s,-9.32497,47.7458,0.1298,-0.129,8.59,0.03,-0.03,6.689,0.02,-0.02,8.36926,0.000376,-0.000376
HD 183579,HD 183579,TIC 320004517,1,1,<a refstr=GAN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.2220G/abstract target=ref>Gan et al. 2021</a>,G2 V,5706.0,110.0,-110.0,0.0,0.97,0.01,-0.01,0.0,1.03,0.05,-0.05,0.0,-0.07,0.09,-0.09,0.0,[Fe/H],4.47,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h33m08.79s,293.2866147,-54d31m57.82s,-54.5327284,57.2651,0.1875,-0.1864,8.67,0.03,-0.03,7.15,0.027,-0.027,8.51549,0.000259,-0.000259
HD 185269,HD 185269,TIC 213721036,3,1,<a refstr=JOHNSON_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...652.1724J/abstract target=ref> Johnson et al. 2006 </a>,G0 IV,5980.0,50.0,-50.0,0.0,1.88,0.1,-0.1,0.0,1.28,0.1,-0.1,0.0,0.11,0.05,-0.05,0.0,[Fe/H],3.94,0.07,-0.07,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h37m11.70s,294.2987668,+28d29m58.25s,28.499514,51.9917,0.0843,-0.084,6.67973,0.023,-0.023,5.26,0.018,-0.018,6.51831,0.000206,-0.000206
HD 191939,HD 191939,TIC 269701147,1,6,<a refstr=BADENAS_AGUSTI_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..113B/abstract target=ref>Badenas-Agusti et al. 2020</a>,G8 V,5427.0,50.0,-50.0,0.0,0.94,0.02,-0.02,0.0,0.92,0.06,-0.06,0.0,-0.16,0.08,-0.08,0.0,[M/H],4.4,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h08m06.15s,302.0256247,+66d51m01.09s,66.8503014,53.6089,0.0733,-0.0731,8.97,0.03,-0.03,7.18,0.021,-0.021,8.77476,0.000238,-0.000238
HD 191939,HD 191939,TIC 269701147,1,6,<a refstr=LUBIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..101L/abstract target=ref>Lubin et al. 2022</a>,G9 V,5348.0,100.0,-100.0,0.0,0.94,0.02,-0.02,0.0,0.81,0.04,-0.04,0.0,-0.15,0.06,-0.06,0.0,[Fe/H],4.3,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h08m06.15s,302.0256247,+66d51m01.09s,66.8503014,53.6089,0.0733,-0.0731,8.97,0.03,-0.03,7.18,0.021,-0.021,8.77476,0.000238,-0.000238
HD 192699,HD 192699,TIC 399334674,1,1,<a refstr=JOHNSON_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...665..785J/abstract target=ref> Johnson et al. 2007 </a>,G8 IV,5220.0,44.0,-44.0,0.0,3.9,0.06,-0.06,0.0,1.68,0.12,-0.12,0.0,-0.15,0.04,-0.04,0.0,[Fe/H],3.44,0.3,-0.3,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h16m05.96s,304.0248392,+04d34m50.05s,4.5805708,71.8627,0.2667,-0.2667,6.45591,0.023,-0.023,4.366,0.026,-0.026,6.21085,0.0004779,-0.0004779
HD 196067,HD 196067,TIC 327303574,2,1,<a refstr=MARMIER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..90M/abstract target=ref> Marmier et al. 2013 </a>,G1 V,6017.0,46.0,-46.0,0.0,1.73,0.21,-0.21,0.0,1.29,0.08,-0.08,0.0,0.18,0.04,-0.04,0.0,[Fe/H],4.24,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h41m44.74s,310.4364195,-75d21m05.40s,-75.3514992,39.9346,0.046,-0.046,6.51,0.03,-0.03,5.08,0.016,-0.016,6.33009,0.0003875,-0.0003875
HD 213885,HD 213885,TIC 403224672,1,2,<a refstr=ESPINOZA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.491.2982E/abstract target=ref>Espinoza et al. 2020</a>,G,5978.0,50.0,-50.0,0.0,1.1,0.01,-0.01,0.0,1.07,0.02,-0.02,0.0,-0.04,0.03,-0.03,0.0,[Fe/H],4.38,0.01,-0.01,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h35m56.09s,338.9837166,-59d51m53.38s,-59.864829,48.0883,0.0991,-0.0987,7.95,0.03,-0.03,6.419,0.024,-0.024,7.80173,0.000247,-0.000247
HD 219077,HD 219077,TIC 394125166,1,1,<a refstr=MARMIER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..90M/abstract target=ref> Marmier et al. 2013 </a>,G8 V,5362.0,18.0,-18.0,0.0,1.91,0.03,-0.03,0.0,1.05,0.02,-0.02,0.0,-0.13,0.01,-0.01,0.0,[Fe/H],4.0,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h14m07.67s,348.5319387,-62d42m06.59s,-62.7018297,29.1864,0.0372,-0.0372,6.12,0.03,-0.03,4.287,8.888,-8.888,5.91597,0.0007371,-0.0007371
HD 219666,HD 219666,TIC 266980320,1,1,<a refstr=ODDO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..134O/abstract target=ref>Oddo et al. 2023</a>,G5 V,5527.0,65.0,-65.0,0.0,1.03,0.03,-0.03,0.0,0.92,0.03,-0.03,0.0,0.04,0.04,-0.04,0.0,[Fe/H],4.4,0.11,-0.11,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h18m14.22s,349.5592665,-56d54m14.35s,-56.9039857,94.1719,0.2518,-0.2506,9.809,0.003,-0.003,8.158,0.033,-0.033,9.64956,0.000219,-0.000219
HD 220689,HD 220689,TIC 9156146,1,1,<a refstr=MARMIER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..90M/abstract target=ref> Marmier et al. 2013 </a>,G3 V,5921.0,26.0,-26.0,0.0,1.07,0.04,-0.04,0.0,1.04,0.03,-0.03,0.0,0.0,0.03,-0.03,0.0,[Fe/H],4.32,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h25m52.97s,351.4707282,-20d37m00.45s,-20.6167923,46.8778,0.1048,-0.1044,7.74,0.03,-0.03,6.326,0.031,-0.031,7.59438,0.000404,-0.000404
HD 221420,HD 221420,TIC 277890728,1,1,<a refstr=VENNER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162...12V/abstract target=ref>Venner et al. 2021</a>,G2 IV-V,5847.0,22.0,-22.0,0.0,1.95,0.01,-0.01,0.0,1.35,0.01,-0.01,0.0,0.33,0.02,-0.02,0.0,[Fe/H],4.03,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h33m19.66s,353.3319001,-77d23m07.18s,-77.3853286,31.1415,0.0376,-0.0376,5.82,0.03,-0.03,4.306,0.036,-0.036,5.65862,0.0013644,-0.0013644
HD 222155,HD 222155,TIC 26370518,1,1,<a refstr=BOISSE_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...545A..55B/abstract target=ref> Boisse et al. 2012 </a>,G2 V,5765.0,22.0,-22.0,0.0,1.67,0.07,-0.07,0.0,1.13,0.11,-0.11,0.0,-0.11,0.05,-0.05,0.0,[Fe/H],4.1,0.13,-0.13,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h38m00.61s,354.5025617,+48d59m45.67s,48.9960191,50.6078,0.0831,-0.0827,7.11716,0.023,-0.023,5.51,0.023,-0.023,6.93563,0.000146,-0.000146
HD 224693,HD 224693,TIC 114807081,1,1,<a refstr=JOHNSON_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...647..600J/abstract target=ref> Johnson et al. 2006 </a>,G2 IV,6037.0,50.0,-50.0,0.0,1.7,0.3,-0.3,0.0,1.33,0.1,-0.1,0.0,0.343,0.05,-0.05,0.0,[Fe/H],4.38,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h59m54.00s,359.9749837,-22d25m40.80s,-22.4279999,93.5015,0.5108,-0.5053,8.23,0.03,-0.03,6.808,0.02,-0.02,8.08528,0.000307,-0.000307
