sy_name,hostname,tic_id,sy_snum,sy_pnum,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
DS Tuc,DS Tuc A,TIC 410214986,2,1,<a refstr=BENATTI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...630A..81B/abstract target=ref>Benatti et al. 2019</a>,G6 V,5542.0,21.0,-21.0,0.0,0.87,0.03,-0.03,0.0,0.96,0.03,-0.03,0.0,-0.08,0.06,-0.06,0.0,[Fe/H],4.6,0.15,-0.15,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h39m39.71s,354.9154673,-69d11m45.75s,-69.196043,44.0622,0.0693,-0.0691,8.17,0.03,-0.03,6.676,0.034,-0.034,8.31926,0.001025,-0.001025
EPIC 211945201,EPIC 211945201,TIC 243244680,1,1,<a refstr=CHAKRABORTY_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156....3C/abstract target=ref>Chakraborty et al. 2018</a>,G0,6025.0,100.0,-100.0,0.0,1.38,0.02,-0.02,0.0,1.18,0.03,-0.04,0.0,0.1,0.1,-0.1,0.0,[Fe/H],4.25,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h06m17.81s,136.5741931,+19d24m07.40s,19.4020565,181.69,1.295,-1.277,10.154,0.008,-0.008,8.837,0.02,-0.02,10.0512,0.000372,-0.000372
EPIC 220674823,EPIC 220674823,TIC 266015990,1,2,<a refstr=ADAMS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...82A/abstract target=ref>Adams et al. 2017</a>,G5,5590.0,51.0,-51.0,0.0,0.83,0.04,-0.04,0.0,0.93,0.01,-0.01,0.0,0.025,0.02,-0.02,0.0,[Fe/H],4.56,0.09,-0.09,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h52m19.21s,13.0800239,+10d47m40.94s,10.7947051,244.59,3.044,-2.972,12.101,0.031,-0.031,10.344,0.021,-0.021,11.9535,0.00022,-0.00022
EPIC 220674823,EPIC 220674823,TIC 266015990,1,2,<a refstr=GUENTHER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...608A..93G/abstract target=ref>Guenther et al. 2017</a>,G5 V,5470.0,30.0,-30.0,0.0,0.87,0.09,-0.09,0.0,0.94,0.06,-0.06,0.0,-0.025,0.05,-0.05,0.0,[Fe/H],4.53,0.08,-0.08,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h52m19.21s,13.0800239,+10d47m40.94s,10.7947051,244.59,3.044,-2.972,12.101,0.031,-0.031,10.344,0.021,-0.021,11.9535,0.00022,-0.00022
EPIC 249893012,EPIC 249893012,TIC 432254760,1,3,<a refstr=HIDALGO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..89H/abstract target=ref>Hidalgo et al. 2020</a>,G8 IV/V,5430.0,85.0,-85.0,0.0,1.71,0.04,-0.04,0.0,1.05,0.05,-0.05,0.0,0.2,0.05,-0.05,0.0,[Fe/H],3.99,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h12m59.58s,228.2482353,-16d43m28.73s,-16.7246474,321.296,4.189,-4.085,11.429,0.022,-0.022,9.714,0.023,-0.023,11.4019,0.000495,-0.000495
HAT-P-13,HAT-P-13,TIC 20096620,1,2,<a refstr=BAKOS_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...707..446B/abstract target=ref> Bakos et al. 2009 </a>,G4,5653.0,90.0,-90.0,0.0,1.56,0.08,-0.08,0.0,1.22,0.05,-0.1,0.0,0.41,0.08,-0.08,0.0,[Fe/H],4.13,0.04,-0.04,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h39m31.77s,129.8823772,+47d21m06.87s,47.3519076,246.81,2.228,-2.188,10.421,0.008,-0.008,8.975,0.017,-0.017,10.4168,0.000254,-0.000254
HAT-P-15,HAT-P-15,TIC 353459965,1,1,<a refstr=KOVACS_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...724..866K/abstract target=ref> Kovacs et al. 2010 </a>,G5,5568.0,90.0,-90.0,0.0,1.08,0.04,-0.04,0.0,1.01,0.04,-0.04,0.0,0.22,0.08,-0.08,0.0,[Fe/H],4.38,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h24m59.55s,66.248142,+39d27m38.17s,39.460602,192.516,2.053,-2.01,12.41,0.036,-0.036,9.641,0.019,-0.019,11.7232,0.000278,-0.000278
HAT-P-21,HAT-P-21,TIC 17993892,1,1,<a refstr=BAKOS_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1008.3388B/abstract target=ref> Bakos et al. 2010 </a>,G3,5588.0,80.0,-80.0,0.0,1.1,0.08,-0.08,0.0,0.95,0.04,-0.04,0.0,0.01,0.08,-0.08,0.0,[Fe/H],4.33,0.06,-0.06,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h25m05.98s,171.2749348,+41d01m40.87s,41.0280207,277.278,3.215,-3.144,11.459,0.025,-0.025,10.111,0.018,-0.018,11.5583,0.001203,-0.001203
HAT-P-22,HAT-P-22,TIC 252479260,2,1,<a refstr=MANCINI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..41M/abstract target=ref>Mancini et al. 2018</a>,G5 V,5314.0,50.0,-50.0,0.0,1.06,0.05,-0.05,0.0,0.94,0.04,-0.04,0.0,0.3,0.09,-0.09,0.0,[Fe/H],4.36,0.04,-0.04,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h22m43.55s,155.6814593,+50d07m43.36s,50.1287115,81.7647,0.2505,-0.2489,9.763,0.004,-0.004,7.837,0.021,-0.021,9.51936,0.000234,-0.000234
HAT-P-22,HAT-P-22,TIC 252479260,2,1,<a refstr=BAKOS_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1008.3388B/abstract target=ref> Bakos et al. 2010 </a>,G5,5302.0,80.0,-80.0,0.0,1.04,0.04,-0.04,0.0,0.92,0.04,-0.04,0.0,0.24,0.08,-0.08,0.0,[Fe/H],4.36,0.04,-0.04,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h22m43.55s,155.6814593,+50d07m43.36s,50.1287115,81.7647,0.2505,-0.2489,9.763,0.004,-0.004,7.837,0.021,-0.021,9.51936,0.000234,-0.000234
